#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
10.681316,6,3.180903
12.271776,7,3.188263
10.654282,6,3.199392
13.154023,8,3.207452
9.232054,5,3.216495
10.24088,6,3.220512
11.020217,6,3.234442
10.493261,6,3.248671
10.68547,6,3.253645
10.735489,6,3.26542
10.801415,6,3.270799
12.611923,7,3.281577
10.950606,6,3.292062
10.254772,6,3.301054
10.934908,6,3.305575
10.395654,6,3.315648
12.080332,7,3.323575
11.016923,6,3.339483
9.168563,5,3.348905
12.096441,7,3.354616
12.481618,7,3.366263
12.210811,7,3.371678
11.78244,7,3.377321
12.095618,7,3.388089
10.506942,6,3.398339
10.503618,6,3.406163
11.956418,7,3.416984
11.024643,6,3.421955
10.912071,6,3.430703
10.975489,6,3.435024
10.840918,6,3.438817
11.194801,6,3.455422
11.602983,7,3.469895
10.405657,6,3.474773
12.181025,7,3.484079
10.991301,6,3.488641
10.030101,6,3.496157
10.473992,6,3.501085
10.660281,6,3.512341
10.986143,6,3.51823
10.681167,6,3.522933
10.626389,6,3.533473
12.11728,7,3.541504
10.893838,6,3.552897
12.374436,7,3.563525
10.035387,6,3.571726
13.758596,8,3.583045
10.737585,6,3.588127
12.25936,7,3.598403
12.225992,7,3.604878
10.826443,6,3.613698
10.338204,6,3.620742
10.65256,6,3.628075
12.232582,7,3.634953
10.364393,6,3.639572
10.75809,6,3.648917
10.788706,6,3.654098
10.895924,6,3.662449
10.231781,6,3.670099
12.077914,7,3.676815
12.168569,7,3.685411
11.100666,6,6.684321
10.397533,6,6.689484
11.000719,6,6.700463
12.181768,7,6.707455
10.170508,6,6.716502
10.467902,6,6.721702
11.174596,6,6.731192
10.123913,6,6.735627
10.244558,6,6.749791
10.962793,6,6.755551
12.038457,7,6.766288
12.007447,7,6.771477
12.158868,7,6.782686
10.91194,6,6.788
10.136644,6,6.798707
9.946604,6,6.804789
8.974672,5,6.810435
10.490385,6,6.818634
11.942797,7,6.823221
10.578207,6,6.831905
10.995445,6,6.836499
11.695952,7,6.849472
10.12558,6,6.856682
12.075898,7,6.865463
10.973005,6,6.871723
10.964803,6,6.877958
10.547622,6,6.884699
10.264461,6,6.889219
12.083252,7,6.902002
11.748967,7,6.908266
12.149267,7,6.921422
10.298837,6,6.931066
10.469457,6,6.938494
10.929435,6,6.947503
10.864538,6,6.952841
11.030037,6,6.956906
10.682675,6,6.97086
10.514044,6,6.978202
13.148154,7,6.985449
9.059147,5,6.989825
10.420916,6,7.000151
11.630135,7,7.005793
11.014389,6,7.016028
12.158601,7,7.021637
12.678684,8,7.033048
10.603305,6,7.038209
12.081083,7,7.050121
11.012094,6,7.061133
10.519181,6,7.069476
10.825896,6,7.077737
11.88476,7,7.086839
11.012579,6,7.100944
10.078595,6,7.107762
10.893218,6,7.118648
10.882289,6,7.124304
10.808308,6,7.136233
9.239844,5,7.141418
10.61447,6,7.155454
10.564192,6,7.169168
10.187172,6,7.182711
11.556198,7,7.189619
12.049507,7,7.20007
10.922805,6,7.205196
10.895135,6,7.215667
10.792931,6,7.221112
11.891068,7,7.231057
10.810632,6,7.236113
16.615223,10,7.248952
10.79905,6,7.254137
11.072828,6,7.258625
10.231292,6,7.266475
11.992014,7,7.272269
10.74457,6,7.281965
10.39994,6,7.286555
10.246466,6,7.290392
10.530257,6,7.298165
12.051964,7,7.303748
12.063927,7,7.308297
12.059965,7,7.319017
10.434665,6,7.323681
