#{"t_start": 1776169974.3279428, "env_id": "None"}
r,l,t
12.130867,7,2.977263
10.87658,6,2.982213
10.856984,6,2.993632
10.300968,6,2.998501
10.84385,6,3.011487
10.426987,6,3.016573
10.160317,6,3.028697
9.672841,6,3.033345
10.90446,6,3.037364
10.877752,6,3.048415
11.407748,7,3.059968
11.822212,7,3.065528
10.302725,6,3.070561
11.473116,7,3.081514
16.468075,9,3.093386
12.048211,7,3.099097
10.714684,6,3.102722
9.932947,6,3.111851
10.053639,6,3.116002
11.988689,7,3.120166
10.191382,6,3.129209
10.065456,6,3.133146
10.453095,6,3.146302
10.295849,6,3.15185
9.13836,5,3.162243
8.8624,5,3.16654
12.071155,7,3.170721
9.885701,6,3.179444
10.308135,6,3.184893
10.940144,6,3.193178
10.931956,6,3.19856
9.762565,6,3.202249
10.541213,6,3.210725
10.815062,6,3.2198
11.702178,7,3.230786
10.37841,6,3.236428
10.874708,6,3.245727
10.435055,6,3.250535
10.693646,6,3.260488
10.28067,6,3.267009
10.548756,6,3.274955
12.610639,7,3.281297
9.828376,6,3.285669
10.61403,6,3.294713
10.02577,6,3.302378
12.341861,7,3.314305
10.624913,6,3.319545
11.734643,7,3.330858
10.279793,6,3.334985
9.999049,6,3.34838
10.942687,6,3.353602
10.746287,6,3.363768
10.855902,6,3.367872
11.890457,7,3.379319
12.638814,7,3.384782
11.990165,7,3.397164
23.119513,13,3.411371
10.196233,6,3.416723
10.132309,6,3.423978
9.828437,6,3.431897
9.967556,6,3.444808
9.508814,6,6.049835
10.815666,6,6.055059
10.446207,6,6.071979
10.025462,6,6.081108
10.720352,6,6.085839
10.959556,7,6.096323
11.985375,7,6.101557
10.518403,6,6.111742
9.503014,6,6.116001
10.39054,6,6.120875
10.842957,6,6.131443
9.9882,6,6.136089
10.763934,6,6.147342
12.412744,7,6.152555
10.723633,6,6.162878
12.128101,7,6.168376
17.956838,10,6.179847
10.435847,6,6.184294
12.151769,7,6.193511
10.0668,6,6.200381
10.598297,6,6.210437
10.512054,6,6.215742
10.740877,6,6.228539
10.40277,6,6.234166
10.652057,6,6.246161
12.215276,7,6.251795
10.820527,6,6.261332
12.043904,7,6.268928
9.964195,6,6.280962
12.095374,7,6.285952
10.20578,6,6.298011
12.12836,7,6.303187
9.561379,6,6.31431
