#{"t_start": 1776350925.3141263, "env_id": "None"}
r,l,t
12.164943,7,10.862216
10.904904,7,10.868015
10.996523,6,10.873776
10.439387,6,10.87878
9.065125,5,10.884591
9.875316,6,10.888882
11.930528,7,10.896842
10.318587,6,10.903955
10.386056,6,10.908684
10.813105,6,10.915367
11.928425,7,10.922107
11.961071,7,10.929572
10.932011,6,10.936846
9.01171,5,10.943275
9.96167,6,10.952731
10.437664,6,10.958538
10.37322,6,10.965468
10.202751,6,10.98585
14.616083,8,11.118554
9.781992,6,11.134809
11.940034,7,11.154831
10.505038,6,11.178577
11.303418,7,11.204859
10.278005,6,11.236298
10.640644,6,11.265162
10.117838,6,11.284496
10.459651,6,11.302145
10.110081,6,11.321054
10.39618,6,11.360651
12.15431,7,11.408796
12.182788,7,11.440589
11.651235,7,11.458732
10.743668,6,11.53268
9.593048,6,11.575583
10.446091,6,11.84648
10.209495,6,12.031151
10.628749,6,12.059659
9.617026,6,12.162053
11.678213,7,12.225431
10.664212,6,12.291489
13.060677,8,12.331559
11.963038,7,12.363692
10.436506,6,12.453183
8.858791,5,12.484956
11.916254,7,12.529412
11.965712,7,12.59581
10.048636,6,12.644276
12.084109,7,12.782408
11.021449,7,12.878196
10.492369,6,12.914989
10.695258,6,13.014469
12.06577,7,13.062181
10.241612,6,13.083627
11.790856,7,13.241365
10.835912,6,13.510497
11.981869,7,13.516257
10.186992,6,13.521051
10.854575,6,13.525523
9.991621,6,13.531599
9.994214,6,13.536509
